©,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
HYDRANGEA,GLOURIOUS BOUQUET - WC HYDRANGEA,2,C01N01P05,GLOURIOUS BOUQUET - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542202,https://s3.amazonaws.com/fabricut.img/img/product_images/1542202.jpg,MUESTRA-029
SMOKE,LITERATURE - WC SMOKE,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912706,https://s3.amazonaws.com/fabricut.img/img/product_images/8912706.jpg,MUESTRA-030
CASTLE,LITERATURE - WC CASTLE,1,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912702,https://s3.amazonaws.com/fabricut.img/img/product_images/8912702.jpg,MUESTRA-031
KONA,LITERATURE - WC KONA,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912703,https://s3.amazonaws.com/fabricut.img/img/product_images/8912703.jpg,MUESTRA-032
COMET,LITERATURE - WC COMET,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912704,https://s3.amazonaws.com/fabricut.img/img/product_images/8912704.jpg,MUESTRA-033
LEAF,LUSH RAINFOREST - WC LEAF,2,C01N02P01,LUSH RAINFOREST - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1541501,https://s3.amazonaws.com/fabricut.img/img/product_images/1541501.jpg,MUESTRA-034
DUSK,MIDNIGHT GARDEN - WC DUSK,2,C01N02P02,MIDNIGHT GARDEN - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542002,https://s3.amazonaws.com/fabricut.img/img/product_images/1542002.jpg,MUESTRA-035
ADRIATIC,TROPICAL GARDEN - WC ADRIATIC,2,C01N02P03,TROPICAL GARDEN - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542101,https://s3.amazonaws.com/fabricut.img/img/product_images/1542101.jpg,MUESTRA-036
NOUGAT-02,50086W MIETTE NOUGAT-02,2,C01N02P04,50086W MIETTE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=5994702,https://s3.amazonaws.com/fabricut.img/img/product_images/5994702.jpg,MUESTRA-037
NAVY-04,50086W MIETTE NAVY-04,2,C01N02P04,50086W MIETTE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=5994704,https://s3.amazonaws.com/fabricut.img/img/product_images/5994704.jpg,MUESTRA-038
NAVY-01,50370W PERTH NAVY-01,2,C01N02P04,50370W PERTH,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6059801,https://s3.amazonaws.com/fabricut.img/img/product_images/6059801.jpg,MUESTRA-039
ROSE GOLD-05,50086W MIETTE ROSE GOLD-05,2,C01N02P04,50086W MIETTE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=5994705,https://s3.amazonaws.com/fabricut.img/img/product_images/5994705.jpg,MUESTRA-040
QUARTZ,50308W MAXIS QUARTZ,4,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591915,https://s3.amazonaws.com/fabricut.img/img/product_images/0848215.jpg,MUESTRA-041
PEARL,50308W MAXIS PEARL,4,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591911,https://s3.amazonaws.com/fabricut.img/img/product_images/0848211.jpg,MUESTRA-042
COBALT,50308W MAXIS COBALT,4,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591905,https://s3.amazonaws.com/fabricut.img/img/product_images/0848205.jpg,MUESTRA-043
METAL,50308W MAXIS METAL,3,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591909,https://s3.amazonaws.com/fabricut.img/img/product_images/0848209.jpg,MUESTRA-044
METAL50314W,50314W ZARINA METAL50314W,2,C01N02P06,50314W ZARINA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4611407,https://s3.amazonaws.com/fabricut.img/img/product_images/0847207.jpg,MUESTRA-045
MUSHROOM,50314W ZARINA MUSHROOM,5,C01N02P06,50314W ZARINA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4611403,https://s3.amazonaws.com/fabricut.img/img/product_images/0847203.jpg,MUESTRA-046
PELICAN,50314W ZARINA PELICAN,4,C01N02P06,50314W ZARINA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4611405,https://s3.amazonaws.com/fabricut.img/img/product_images/0847205.jpg,MUESTRA-047
GOLD-02,50371W HODAR GOLD-02,5,C01N03P01,50371W HODAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6060002,https://s3.amazonaws.com/fabricut.img/img/product_images/6060002.jpg,MUESTRA-048
SILVER-01,50371W HODAR SILVER-01,5,C01N03P01,50371W HODAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6060001,https://s3.amazonaws.com/fabricut.img/img/product_images/6060001.jpg,MUESTRA-049
AQUA-01,50376W PERCE AQUA-01,3,C01N03P02,50376W PERCE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6061301,https://s3.amazonaws.com/fabricut.img/img/product_images/6061301.jpg,MUESTRA-050
GREY-02,50385W CILMA GREY-02,2,C01N03P02,50385W CILMA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6063202,https://s3.amazonaws.com/fabricut.img/img/product_images/6063202.jpg,MUESTRA-051
AQUA-01 ELIDA,50388W  ELIDA AQUA-01 ELIDA,5,C01N03P03,50388W  ELIDA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064101,https://s3.amazonaws.com/fabricut.img/img/product_images/6064101.jpg,MUESTRA-052
GREY-02 ELIDA,50388W  ELIDA GREY-02 ELIDA,5,C01N03P03,50388W  ELIDA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064102,https://s3.amazonaws.com/fabricut.img/img/product_images/6064102.jpg,MUESTRA-053
CYPRESS-02,50391W SINYAR CYPRESS-02,5,C01N03P04,50391W SINYAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6083002,https://s3.amazonaws.com/fabricut.img/img/product_images/6083002.jpg,MUESTRA-054
MINERAL-03,50391W SINYAR MINERAL-03,5,C01N03P04,50391W SINYAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6083003,https://s3.amazonaws.com/fabricut.img/img/product_images/6083003.jpg,MUESTRA-055
INDIGO-04,50391W SINYAR INDIGO-04,4,C01N03P04,50391W SINYAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6083004,https://s3.amazonaws.com/fabricut.img/img/product_images/6083004.jpg,MUESTRA-056
BLUSH-05,50391W SINYAR BLUSH-05,5,C01N03P04,50391W SINYAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6083005,https://s3.amazonaws.com/fabricut.img/img/product_images/6083005.jpg,MUESTRA-057
OAK-01,50391W SINYAR OAK-01,5,C01N03P04,50391W SINYAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6083001,https://s3.amazonaws.com/fabricut.img/img/product_images/6083001.jpg,MUESTRA-058
GILT-01,50394W LATIF GILT-01,2,C01N03P05,50394W LATIF,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064301,https://s3.amazonaws.com/fabricut.img/img/product_images/6064301.jpg,MUESTRA-059
INDIGO-02,50394W LATIF INDIGO-02,2,C01N03P05,50394W LATIF,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064302,https://s3.amazonaws.com/fabricut.img/img/product_images/6064302.jpg,MUESTRA-060
SILVER-03,50394W LATIF SILVER-03,2,C01N03P05,50394W LATIF,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064303,https://s3.amazonaws.com/fabricut.img/img/product_images/6064303.jpg,MUESTRA-061
GILT-01 SHRUB,50395W SHRUB GILT-01 SHRUB,2,C01N03P06,50395W SHRUB,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064501,https://s3.amazonaws.com/fabricut.img/img/product_images/6064501.jpg,MUESTRA-062
INDIGO-02 SHRUB,50395W SHRUB INDIGO-02 SHRUB,2,C01N03P06,50395W SHRUB,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064502,https://s3.amazonaws.com/fabricut.img/img/product_images/6064502.jpg,MUESTRA-063
SILVER-03 SHRUB,50395W SHRUB SILVER-03 SHRUB,2,C01N03P06,50395W SHRUB,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064503,https://s3.amazonaws.com/fabricut.img/img/product_images/6064503.jpg,MUESTRA-064
ALLOY-02,50399W SHRUB ALLOY-02,2,C01N04P01,50399W SHRUB,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6105202,https://s3.amazonaws.com/fabricut.img/img/product_images/6105202.jpg,MUESTRA-065
INDIGO-01,50399W SHRUB INDIGO-01,2,C01N04P01,50399W SHRUB,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6105201,https://s3.amazonaws.com/fabricut.img/img/product_images/6105201.jpg,MUESTRA-066
ROSE-01,50400W ECCLES ROSE-01,2,C01N04P02,50400W ECCLES,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6105501,https://s3.amazonaws.com/fabricut.img/img/product_images/6105501.jpg,MUESTRA-067
PLATINUM-02,50400W ECCLES PLATINUM-02,2,C01N04P02,50400W ECCLES,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6105502,https://s3.amazonaws.com/fabricut.img/img/product_images/6105502.jpg,MUESTRA-068
MOONSTONE-01,50401W HOWTH MOONSTONE-01,5,C01N04P03,50401W HOWTH,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6105801,https://s3.amazonaws.com/fabricut.img/img/product_images/6105801.jpg,MUESTRA-069
PAINT,A LA CARTE  PAINT,1,C01N05P01,A LA CARTE,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2204201,https://s3.amazonaws.com/fabricut.img/img/product_images/2204201.jpg,MUESTRA-070
REEF,ANKARA MOHAIR - HC REEF,1,C01N05P01,ANKARA MOHAIR - HC,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=8529125,https://s3.amazonaws.com/fabricut.img/img/product_images/8529125.jpg,MUESTRA-071
METALLO,BEATING HEARTS  METALLO,1,C01N05P02,BEATING HEARTS,S. HARRIS,TRIMMING,,,http://qr.fabricut.com/?id=2290202,https://s3.amazonaws.com/fabricut.img/img/product_images/2290202.jpg,MUESTRA-072
GROTTO,BEATING HEARTS  GROTTO,1,C01N05P02,BEATING HEARTS,S. HARRIS,TRIMMING,,,http://qr.fabricut.com/?id=2290201,https://s3.amazonaws.com/fabricut.img/img/product_images/2290201.jpg,MUESTRA-073
ROSETTA,BEATING HEARTS  ROSETTA,1,C01N05P02,BEATING HEARTS,S. HARRIS,TRIMMING,,,http://qr.fabricut.com/?id=2290203,https://s3.amazonaws.com/fabricut.img/img/product_images/2290203.jpg,MUESTRA-074
NIGHT,NIGHT BUGSKINS ,1,C01N05P03,BUGSKINS ,S. HARRIS,TELA ,,,http://qr.fabricut.com/?id=6885002,https://s3.amazonaws.com/fabricut.img/img/product_images/6885002.jpg,MUESTRA-075
FLAMINGO,FLAMINGO BROOKHAVEN-H,1,C01N05P03,BROOKHAVEN-H,S. HARRIS,TELA ,,,http://qr.fabricut.com/?id=8320404,,MUESTRA-076
STEEL BLUE,STEEL BLUE BRAQUE CUBISM,1,C01N05P03,BRAQUE CUBISM,S. HARRIS,TELA ,,,http://qr.fabricut.com/?id=2126901,https://s3.amazonaws.com/fabricut.img/img/product_images/2126901.jpg,MUESTRA-077
MIDNIGHT SALVIA,MIDNIGHT SALVIA TWIGGY CHECK,1,C01N05P04,TWIGGY CHECK,S. HARRIS,TELA ,,,http://qr.fabricut.com/?id=2524003,https://s3.amazonaws.com/fabricut.img/img/product_images/2524003.jpg,MUESTRA-078
SAFARI,SAFARI LEVI CHECK,1,C01N05P04,LEVI CHECK,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2460601,https://s3.amazonaws.com/fabricut.img/img/product_images/2460601.jpg,MUESTRA-079
METAL,METAL STARRY NIGHT ,1,C01N05P04,STARRY NIGHT ,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2408501,https://s3.amazonaws.com/fabricut.img/img/product_images/2408501.jpg,MUESTRA-080
GROTTO,GROTTO CAPOTE CHECK,1,C01N05P04,CAPOTE CHECK,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2293002,https://s3.amazonaws.com/fabricut.img/img/product_images/2293002.jpg,MUESTRA-081
HERO ,HERO  INDIGO,1,C01N05P05,INDIGO,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=5866009,https://s3.amazonaws.com/fabricut.img/img/product_images/3003711.jpg,MUESTRA-082
COLOR 03,COLOR 03 ETCH A VELVET,1,C01N05P05,ETCH A VELVET,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=7687603,https://s3.amazonaws.com/fabricut.img/img/product_images/7687503.jpg,MUESTRA-083
GROTTO,GROTTO ELSA TIE-DYE,1,C01N05P05,ELSA TIE-DYE,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2524303,https://s3.amazonaws.com/fabricut.img/img/product_images/2524303.jpg,MUESTRA-084
MULTI,MULTI DUMAS,1,C01N05P05,DUMAS,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2173501,https://s3.amazonaws.com/fabricut.img/img/product_images/2173501.jpg,MUESTRA-085
PEARL TOWER,PEARL TOWER KOY SISAL ,1,C01N05P06,KOY SISAL ,S. HARRIS,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=0855301,https://s3.amazonaws.com/fabricut.img/img/product_images/0855301.jpg,MUESTRA-086
GREAT WALL,GREAT WALL KOY SISAL ,1,C01N05P06,KOY SISAL ,S. HARRIS,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=0855305,https://s3.amazonaws.com/fabricut.img/img/product_images/0855305.jpg,MUESTRA-087
LONGHUA,LONGHUA KOY SISAL ,1,C01N05P06,KOY SISAL ,S. HARRIS,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=0855308,https://s3.amazonaws.com/fabricut.img/img/product_images/0855308.jpg,MUESTRA-088
TUTTI,TUTTI LA FRANGE,1,C01N06P01,LA FRANGE,S. HARRIS,TRIMMING,,,http://qr.fabricut.com/?id=2290704,https://s3.amazonaws.com/fabricut.img/img/product_images/2290704.jpg,MUESTRA-089
METALLO,METALLO LA FRANGE,1,C01N06P01,LA FRANGE,S. HARRIS,TRIMMING,,,http://qr.fabricut.com/?id=2290702,https://s3.amazonaws.com/fabricut.img/img/product_images/2290702.jpg,MUESTRA-090
GROTTO,GROTTO LA FRANGE,1,C01N06P01,LA FRANGE,S. HARRIS,TRIMMING,,,http://qr.fabricut.com/?id=2290701,https://s3.amazonaws.com/fabricut.img/img/product_images/2290701.jpg,MUESTRA-091
BERRY AZUL,BERRY AZUL LAUREL CANYON,1,C01N06P01,LAUREL CANYON,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2114801,https://s3.amazonaws.com/fabricut.img/img/product_images/2114801.jpg,MUESTRA-092
MOLTEN ROCK,MOLTEN ROCK MAGMA-WP,2,C01N06P02,MAGMA-WP,S. HARRIS,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=1445203,https://s3.amazonaws.com/fabricut.img/img/product_images/1445203.jpg,MUESTRA-093
IGNEOUS,IGNEOUS MAGMA-WP,2,C01N06P02,MAGMA-WP,S. HARRIS,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=1445202,https://s3.amazonaws.com/fabricut.img/img/product_images/1445202.jpg,MUESTRA-094
GOLD STREAK,GOLD STREAK METALLURGY,1,C01N06P03,METALLURGY,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=1996601,https://s3.amazonaws.com/fabricut.img/img/product_images/1996601.jpg,MUESTRA-095
AMBER,AMBER METALLURGY,1,C01N06P03,METALLURGY,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2126501,https://s3.amazonaws.com/fabricut.img/img/product_images/2126501.jpg,MUESTRA-096
REEF,REEF MORDECAI ,1,C01N06P03,MORDECAI ,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=6971602,,MUESTRA-097
PINK QUARTZ,PINK QUARTZ MELROSE MOHAIR,1,C01N06P03,MELROSE MOHAIR,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=8537535,https://s3.amazonaws.com/fabricut.img/img/product_images/8529135.jpg,MUESTRA-098
CARIBBEAN,CARIBBEAN MEDELLIN,1,C01N06P03,MEDELLIN,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2175102,https://s3.amazonaws.com/fabricut.img/img/product_images/2175102.jpg,MUESTRA-099
WEATHERED GREY,WEATHERED GREY QUANTUM VINE ,1,C01N06P04,QUANTUM VINE ,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2016003,https://s3.amazonaws.com/fabricut.img/img/product_images/2016003.jpg,MUESTRA-100
SPEARMINT,SPEARMINT OTTOMAN OVATION-H,1,C01N06P04,OTTOMAN OVATION-H,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=8409619,https://s3.amazonaws.com/fabricut.img/img/product_images/8409619.jpg,MUESTRA-101
STEELING,STEELING VELVET PHILOSOPHY,1,C01N06P05,VELVET PHILOSOPHY,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=0408806,https://s3.amazonaws.com/fabricut.img/img/product_images/0408806.jpg,MUESTRA-102
INDIGO,INDIGO VELVET PHILOSOPHY,1,C01N06P05,VELVET PHILOSOPHY,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=0408801,https://s3.amazonaws.com/fabricut.img/img/product_images/0408801.jpg,MUESTRA-103
JEWEL,JEWEL SABADO,1,C01N06P05,SABADO,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2173701,https://s3.amazonaws.com/fabricut.img/img/product_images/2173701.jpg,MUESTRA-104
PLATINUM,PLATINUM ZENA,2,C01N06P06,ZENA,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2409103,https://s3.amazonaws.com/fabricut.img/img/product_images/2409103.jpg,MUESTRA-105
STAR,STAR ZENA,1,C01N06P06,ZENA,S. HARRIS,TELA,,,http://qr.fabricut.com/?id=2409102,https://s3.amazonaws.com/fabricut.img/img/product_images/2409102.jpg,MUESTRA-106
10996 991,10996 991 INFINITY SHADES,3,C01N07P01,INFINITY SHADES,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/infinity-shades-10996-991,https://www.zimmer-rohde.com/fileadmin/_processed_/e/a/csm_10996991_ea99bc4658.jpg,MUESTRA-107
10611 993,10611 993 TINTO ,3,C01N07P01,TINTO ,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/tinto-10611-993,https://www.zimmer-rohde.com/fileadmin/_processed_/7/2/csm_10611993_9c32193b05.jpg,MUESTRA-108
10660 115,10660 115 INFINITY PLUS,3,C01N07P01,INFINITY PLUS,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/infinity-plus-10660-115,https://www.zimmer-rohde.com/fileadmin/_processed_/5/3/csm_10660115_57e390f650.jpg,MUESTRA-109
11006 492,11006 492 JOE,3,C01N07P02,JOE,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/joe-11006-492,https://www.zimmer-rohde.com/fileadmin/_processed_/8/a/csm_11006492_927641f13a.jpg,MUESTRA-110
11010 484,11010 484 ROXY,3,C01N07P02,ROXY,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/roxy-11010-484,https://www.zimmer-rohde.com/fileadmin/_processed_/8/3/csm_11010484_e2ebc15a4f.jpg,MUESTRA-111
11011 143,11011 143 CARLY,3,C01N07P02,CARLY,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/carly-11011-143,https://www.zimmer-rohde.com/fileadmin/_processed_/c/3/csm_11011143_76c5947500.jpg,MUESTRA-112
11012 415,11012 415 COURTNEY,3,C01N07P02,COURTNEY,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/courtney-11012-415,https://www.zimmer-rohde.com/fileadmin/_processed_/1/9/csm_11012415_9132fda7d6.jpg,MUESTRA-113
11013 492,11013 492 BELA,3,C01N07P02,BELA,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/bela-11013-492,https://www.zimmer-rohde.com/fileadmin/_processed_/1/3/csm_11013492_881628b2f2.jpg,MUESTRA-114
11008 990,11008 990 LOUI RE,3,C01N07P02,LOUI RE,ZIMMER+ROHDE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/louie-re-11008-990,https://www.zimmer-rohde.com/fileadmin/_processed_/c/7/csm_11008990_7432f91d18.jpg,MUESTRA-115
